timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1539226083275,557,2 - Add a new user with job leader,201,Created,Thread Group 1-1,text,true,,623,212,1,1,https://reqres.in/api/users,557,0,156
1539226083833,595,3 - Get the second  user details,200,OK,Thread Group 1-1,text,true,,672,175,1,1,https://reqres.in/api/users/2,595,0,177
1539226084430,564,4 - Update the second user details with new job,200,OK,Thread Group 1-1,text,true,,614,219,1,1,https://reqres.in/api/users/2,564,0,160
1539226084997,569,1 - Get all the users details,200,OK,Thread Group 1-1,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,569,0,166
1539226092806,613,2 - Add a new user with job leader,201,Created,Thread Group 1-2,text,true,,623,212,1,1,https://reqres.in/api/users,613,0,175
1539226093422,625,3 - Get the second  user details,200,OK,Thread Group 1-2,text,true,,672,175,1,1,https://reqres.in/api/users/2,625,0,219
1539226094050,596,4 - Update the second user details with new job,200,OK,Thread Group 1-2,text,true,,614,219,1,1,https://reqres.in/api/users/2,596,0,166
1539226094665,602,1 - Get all the users details,200,OK,Thread Group 1-2,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,602,0,178
1539226095269,568,2 - Add a new user with job leader,201,Created,Thread Group 1-2,text,true,,622,212,1,1,https://reqres.in/api/users,568,0,162
1539226102761,579,3 - Get the second  user details,200,OK,Thread Group 1-3,text,true,,672,175,1,1,https://reqres.in/api/users/2,579,0,175
1539226103343,595,4 - Update the second user details with new job,200,OK,Thread Group 1-3,text,true,,614,219,1,1,https://reqres.in/api/users/2,595,0,192
1539226103941,568,1 - Get all the users details,200,OK,Thread Group 1-3,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,568,0,164
1539226104511,417,2 - Add a new user with job leader,201,Created,Thread Group 1-3,text,true,,623,212,1,1,https://reqres.in/api/users,417,0,175
1539226104930,588,3 - Get the second  user details,200,OK,Thread Group 1-3,text,true,,672,175,1,1,https://reqres.in/api/users/2,588,0,178
1539226112782,389,4 - Update the second user details with new job,200,OK,Thread Group 1-4,text,true,,614,219,1,1,https://reqres.in/api/users/2,389,0,161
1539226113173,385,1 - Get all the users details,200,OK,Thread Group 1-4,text,true,,979,180,1,1,https://reqres.in/api/users?page=2,385,0,161
